Dominio,Escaneado en,Version TLS,Días restantes,Emisor de certificado TLS,Protocolo de cifrado,Riesgo,Observaciones
google.com,2026-03-28 11:45:39,TLSv1.3,64.0,WR2,AES_256_GCM_SHA384,BAJO,[]
facebook.com,2026-03-28 11:46:01,TLSv1.3,8.0,DigiCert Global G2 TLS RSA SHA256 2020 CA1,CHACHA20_POLY1305_SHA256,MEDIO,['Certificado por vencer (8 días)']
instagram.com,2026-03-28 11:46:04,TLSv1.3,8.0,DigiCert Global G2 TLS RSA SHA256 2020 CA1,CHACHA20_POLY1305_SHA256,MEDIO,['Certificado por vencer (8 días)']
tlauncher,2026-03-28 11:46:12,---,,---,---,CRITICO,['No se pudo conectar correctamente al sitio']
34.45.64.235,2026-03-28 11:47:01,---,,---,---,CRITICO,['No se encontró información válida del certificado.']
